away_team,away_score
AFC Bournemouth,1.1578947368421053
Arsenal FC,2.0526315789473686
Aston Villa FC,1.2105263157894737
Brentford FC,1.3157894736842106
Brighton & Hove Albion FC,1.5789473684210527
Burnley FC,1.1578947368421053
Chelsea FC,1.3421052631578947
Crystal Palace FC,1.0263157894736843
Everton FC,0.9473684210526315
Fulham FC,1.263157894736842
Leeds United FC,1.1578947368421053
Leicester City FC,1.4736842105263157
Liverpool FC,1.736842105263158
Luton Town FC,1.263157894736842
Manchester City FC,2.0789473684210527
Manchester United FC,1.263157894736842
Newcastle United FC,1.7894736842105263
Nottingham Forest FC,0.868421052631579
Sheffield United FC,0.8421052631578947
Southampton FC,0.8947368421052632
Tottenham Hotspur FC,1.8157894736842106
West Ham United FC,1.1842105263157894
Wolverhampton Wanderers FC,0.9473684210526315
